Roll No,Study Hours/Week,Previous Scores,Extracurricular,Family Income ($),Distance to School (miles),Number of Friends,Commute Time (minutes),School Type,Parental Education,Gender,Final Exam Score
101,10,85,Yes,45000,2.5,3,20,Public,High School,Male,90
102,8,75,No,30000,1.5,2,15,Private,Bachelor's,Female,85
103,12,95,Yes,60000,5,5,30,Public,Master's,Male,95
104,6,65,No,25000,0.5,1,10,Public,High School,Female,70
105,9,80,Yes,40000,3,4,25,Private,Bachelor's,Male,88
106,7,70,Yes,32000,2,2,18,Public,Bachelor's,Female,75
107,11,90,No,55000,4.5,4,28,Public,High School,Male,92
108,5,60,No,22000,0.3,1,12,Private,High School,Female,65
109,8,78,Yes,48000,3,3,20,Private,Master's,Male,89
110,9,82,Yes,52000,2.7,3,22,Public,Bachelor's,Female,87
111,10,88,Yes,58000,3.5,4,25,Private,Ph.D.,Male,91
112,7,72,No,33000,1.8,2,16,Public,High School,Female,78
113,6,65,Yes,25000,0.7,1,14,Public,High School,Male,68
114,12,96,No,62000,5.5,5,32,Public,Bachelor's,Female,94
115,8,76,Yes,42000,2.3,3,21,Private,Master's,Male,84
116,11,92,Yes,57000,4.2,4,27,Public,High School,Female,93
117,9,84,Yes,49000,2.9,3,23,Private,Ph.D.,Male,87
118,7,68,No,28000,1,2,14,Public,High School,Female,72
119,6,64,No,24000,0.4,1,11,Private,High School,Male,66
120,10,87,Yes,55000,4,4,26,Public,Bachelor's,Female,88
121,8,74,Yes,38000,2.2,3,19,Public,Bachelor's,Male,79
122,12,98,Yes,65000,6,5,35,Private,Ph.D.,Female,96
123,11,91,No,58000,4.3,4,29,Public,Master's,Male,90
124,7,73,Yes,35000,1.7,2,17,Public,High School,Female,77
125,6,66,No,26000,0.6,1,13,Private,High School,Male,70
126,9,81,Yes,45000,3.2,3,22,Private,Master's,Female,85
127,8,75,Yes,40000,2.8,3,20,Public,High School,Male,76
128,10,89,Yes,60000,4.5,4,28,Public,Ph.D.,Female,92
129,7,70,No,31000,1.9,2,15,Private,Bachelor's,Male,73
130,6,67,Yes,29000,1.1,1,12,Public,High School,Female,69
131,11,94,Yes,55000,4.1,4,26,Public,Master's,Male,94
132,9,83,No,49000,3,3,21,Private,High School,Female,84
133,12,97,Yes,63000,5.7,5,33,Public,Ph.D.,Male,95
134,10,86,Yes,58000,4.2,4,27,Private,Bachelor's,Female,89
135,8,76,No,39000,2.5,2,18,Public,High School,Male,80
136,7,71,Yes,32000,1.6,2,16,Public,Bachelor's,Female,74
137,6,66,Yes,27000,1,1,12,Private,Master's,Male,70
138,9,80,Yes,42000,3.1,3,22,Public,High School,Female,83
139,11,93,Yes,56000,4,4,25,Public,Ph.D.,Male,93
140,8,74,No,37000,2.3,2,17,Private,High School,Female,75
141,10,88,No,54000,3.8,4,24,Private,Master's,Male,86
142,12,95,Yes,61000,5.3,5,31,Public,Bachelor's,Female,94
143,7,72,Yes,33000,1.9,2,15,Public,High School,Male,76
144,6,67,No,28000,1.2,1,13,Private,High School,Female,69
145,9,82,No,47000,3.2,3,22,Public,Ph.D.,Male,82
146,8,77,Yes,41000,2.6,3,19,Public,Bachelor's,Female,78
147,10,90,Yes,56000,4,4,26,Private,High School,Male,90
148,11,91,Yes,58000,4.5,4,28,Public,Bachelor's,Female,92
149,7,71,Yes,34000,1.5,2,16,Public,Master's,Male,75
150,6,65,No,25000,1,1,12,Private,High School,Female,70
